IMAGE\LABEL	airplane	bare-soil	buildings	cars	chaparral	court	dock	field	grass	mobile-home	pavement	sand	sea	ship	tanks	trees	water
agricultural00	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
agricultural01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural02	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural03	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural05	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural06	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural07	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural08	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural09	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
airplane00	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane01	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane02	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane03	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane04	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane05	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane06	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane07	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane08	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane09	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane10	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane11	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane12	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane13	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane14	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane15	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane16	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane17	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane18	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane19	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane20	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane21	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane22	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane23	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane24	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane25	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane26	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane27	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane28	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane29	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane30	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
baseballdiamond00	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond01	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond02	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
baseballdiamond03	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond04	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
baseballdiamond05	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
baseballdiamond06	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
baseballdiamond07	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond08	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond09	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond10	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
baseballdiamond11	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond12	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond13	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond14	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond15	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond16	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
baseballdiamond17	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond18	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond19	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
baseballdiamond20	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
baseballdiamond21	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
baseballdiamond22	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond23	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond24	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
baseballdiamond25	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
baseballdiamond26	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
baseballdiamond27	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
baseballdiamond28	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
baseballdiamond29	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
baseballdiamond30	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
beach00	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach01	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach02	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach03	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach04	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach05	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach06	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach07	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach08	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach09	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach11	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach12	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach13	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach15	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach16	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach17	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach18	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach19	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach20	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
beach21	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach22	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach23	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach24	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach25	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach26	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach27	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach28	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
beach29	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
beach30	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
